"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"16",16,"escol4=0,comtabagis=0,comdrogas=0","encerra2=0",127,1.1704247754491,0.760479041916168,0.214890016920474,133,1.21484652715527,0.76878612716763,0.225042301184433,136,1.18823825081679,0.786127167630058,0.230118443316413,126,1.17188090142264,0.745562130177515,0.213197969543147
"17",17,"escol4=0,comtabagis=0,tipores3=0","encerra2=0",43,1.20326704545455,0.781818181818182,0.0727580372250423,46,1.32163344676714,0.836363636363636,0.077834179357022,50,1.25959079283887,0.833333333333333,0.0846023688663283,43,1.22886847195358,0.781818181818182,0.0727580372250423
"18",18,"escol4=0,hiv3=0,comdiab=1","encerra2=0",24,1.31919642857143,0.857142857142857,0.0406091370558376,25,1.46316102198455,0.925925925925926,0.0423011844331641,23,1.19878296146045,0.793103448275862,0.038917089678511,24,1.25744680851064,0.8,0.0406091370558376
"19",19,"escol4=0,mumigual=0,alcool=0,cavitacao=1,bilateral=0","encerra2=0",30,1.35799632352941,0.882352941176471,0.050761421319797,22,1.33710407239819,0.846153846153846,0.0372250423011844,30,1.37409904673332,0.909090909090909,0.050761421319797,26,1.36223404255319,0.866666666666667,0.0439932318104907
"20",20,"escol4=0,mumigual=0,alcool=0,comdrogas=0,tipores3=0","encerra2=0",40,1.36805555555556,0.888888888888889,0.0676818950930626,36,1.45865898807075,0.923076923076923,0.0609137055837563,41,1.40845152290165,0.931818181818182,0.0693739424703892,34,1.33603723404255,0.85,0.0575296108291032
"21",21,"escol4=0,tipores3=0","encerra2=0",51,1.154296875,0.75,0.0862944162436548,52,1.26417112299465,0.8,0.0879864636209814,57,1.19661125319693,0.791666666666667,0.0964467005076142,48,1.1607201309329,0.738461538461539,0.0812182741116751
"33",33,"fxet3=1,alcool=0,comdrogas=0,cavitacao=0","encerra2=0",58,1.15929383116883,0.753246753246753,0.0981387478849408,61,1.25185776790055,0.792207792207792,0.10321489001692,65,1.15585978636979,0.764705882352941,0.109983079526227,62,1.1601443768997,0.738095238095238,0.104906937394247
"35",35,"fxet3=1,bilateral=0,tipores3=0","encerra2=0",52,1.25048828125,0.8125,0.0879864636209814,47,1.25881446569383,0.796610169491525,0.0795262267343486,51,1.26372059871704,0.836065573770492,0.0862944162436548,49,1.26260027903732,0.80327868852459,0.0829103214890017
"37",37,"fxet3=1,comdrogas=0,bilateral=0,tipores3=0","encerra2=0",47,1.29171316964286,0.839285714285714,0.0795262267343486,43,1.33233721296005,0.843137254901961,0.0727580372250423,46,1.3118756936737,0.867924528301887,0.077834179357022,45,1.33455439582497,0.849056603773585,0.0761421319796954
"45",45,"fxet3=1,escol4=0,bilateral=0","encerra2=0",59,1.24389982876712,0.808219178082192,0.0998307952622673,59,1.29489750445633,0.819444444444444,0.0998307952622673,66,1.17364224462163,0.776470588235294,0.111675126903553,55,1.18423928883707,0.753424657534247,0.0930626057529611
"46",46,"fxet3=1,escol4=0,cavitacao=0","encerra2=0",36,1.28851744186047,0.837209302325581,0.0609137055837563,44,1.41896758703481,0.897959183673469,0.0744500846023689,42,1.24477207762901,0.823529411764706,0.0710659898477157,38,1.21895353886235,0.775510204081633,0.0642978003384095
