"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"13560","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,ppl=0,pdres5=1  encerra2=0",11,1.18971631205674,0.733333333333333,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13561","sexo2=1,fxet3=1,escol4=0,mumigual=1,comdiab=0,comtabagis=0,ppl=0,pdres5=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13562","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,ppl=0,tipores3=1  encerra2=0",10,1.24795417348609,0.769230769230769,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13563","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,pdres5=1,tipores3=1  encerra2=0",10,1.24795417348609,0.769230769230769,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13564","sexo2=1,escol4=0,mumigual=1,alcool=0,comdiab=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13565","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",11,1.27469604863222,0.785714285714286,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13566","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,ppl=0,pdres5=1  encerra2=0",11,1.18971631205674,0.733333333333333,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13567","fxet3=1,escol4=0,mumigual=1,comtabagis=0,ppl=0,pdres5=1,cavitacao=1,tipores3=1  encerra2=0",11,1.11535904255319,0.6875,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13568","fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,comdrogas=0,ppl=0,cavitacao=1  encerra2=0",16,1.17988394584139,0.727272727272727,0.0524590163934426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13569","fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,comdrogas=0,pdres5=1,cavitacao=1  encerra2=0",16,1.17988394584139,0.727272727272727,0.0524590163934426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
