"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"69",69,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"encerra2=0",47,1.26029945553539,0.810344827586207,0.0795262267343486,38,1.25414642318646,0.808510638297872,0.0642978003384095,45,1.29290228488089,0.818181818181818,0.0761421319796954
"70",70,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",63,1.13932068543452,0.732558139534884,0.106598984771574,70,1.18024649092776,0.760869565217391,0.11844331641286,62,1.16634835752483,0.738095238095238,0.104906937394247
"71",71,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",59,1.24000711237553,0.797297297297297,0.0998307952622673,65,1.21478038136799,0.783132530120482,0.109983079526227,56,1.24636589591022,0.788732394366197,0.0947546531302876
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",88,1.24421052631579,0.8,0.148900169204738,88,1.21878515185602,0.785714285714286,0.148900169204738,91,1.27256163929771,0.805309734513274,0.153976311336717
"73",73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",83,1.3307921866522,0.855670103092783,0.140439932318105,84,1.25287704421563,0.807692307692308,0.142131979695431,86,1.30671534348005,0.826923076923077,0.145516074450085
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",80,1.29605263157895,0.833333333333333,0.135363790186125,83,1.24998088831129,0.805825242718447,0.140439932318105,84,1.27632661456191,0.807692307692308,0.142131979695431
"75",75,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",130,1.18931888544892,0.764705882352941,0.219966159052453,132,1.19740295620942,0.771929824561403,0.223350253807107,130,1.20839886756842,0.764705882352941,0.219966159052453
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",84,1.29348619072434,0.831683168316832,0.142131979695431,86,1.28270745003028,0.826923076923077,0.145516074450085,88,1.32436974789916,0.838095238095238,0.148900169204738
"77",77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",79,1.38051448846836,0.887640449438202,0.133671742808799,82,1.31130773601753,0.845360824742268,0.138747884940778,83,1.36622660427807,0.864583333333333,0.140439932318105
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",76,1.35862068965517,0.873563218390805,0.128595600676819,81,1.32258599254041,0.852631578947368,0.137055837563452,81,1.33330548128342,0.84375,0.137055837563452
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",48,1.38245614035088,0.888888888888889,0.0812182741116751,56,1.35728346456693,0.875,0.0947546531302876,50,1.3391643252062,0.847457627118644,0.0846023688663283
"91",91,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"encerra2=0",31,1.30305832147937,0.837837837837838,0.0524534686971235,34,1.28634530439793,0.829268292682927,0.0575296108291032,32,1.26417112299465,0.8,0.0541455160744501
"92",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"encerra2=0",55,1.22199248120301,0.785714285714286,0.0930626057529611,62,1.23299010700585,0.794871794871795,0.104906937394247,62,1.27238002639072,0.805194805194805,0.104906937394247
"93",93,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"encerra2=0",31,1.30305832147937,0.837837837837838,0.0524534686971235,35,1.29265091863517,0.833333333333333,0.0592216582064298,30,1.28125451654863,0.810810810810811,0.050761421319797
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"encerra2=0",41,1.38621281464531,0.891304347826087,0.0693739424703892,44,1.36503937007874,0.88,0.0744500846023689,46,1.34610814022579,0.851851851851852,0.077834179357022
"95",95,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",33,1.42565789473684,0.916666666666667,0.0558375634517767,27,1.39606299212598,0.9,0.0456852791878173,23,1.34610814022579,0.851851851851852,0.038917089678511
"97",97,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",29,1.25285087719298,0.805555555555556,0.0490693739424704,27,1.39606299212598,0.9,0.0456852791878173,25,1.2743660514059,0.806451612903226,0.0423011844331641
"104",104,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",80,1.19635627530364,0.769230769230769,0.135363790186125,73,1.24435407112572,0.802197802197802,0.123519458544839,79,1.23600889500715,0.782178217821782,0.133671742808799
"105",105,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",75,1.16644736842105,0.75,0.126903553299492,72,1.25488808280987,0.808988764044944,0.121827411167513,77,1.21676470588235,0.77,0.130287648054146
"106",106,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",72,1.23053788316946,0.791208791208791,0.121827411167513,67,1.29911417322835,0.8375,0.11336717428088,72,1.26417112299465,0.8,0.121827411167513
"107",107,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",60,1.18121252498334,0.759493670886076,0.101522842639594,60,1.31085726960186,0.845070422535211,0.101522842639594,63,1.26017058146619,0.79746835443038,0.106598984771574
"108",108,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=0",92,1.21257805530776,0.779661016949153,0.155668358714044,85,1.20963663945677,0.779816513761468,0.143824027072758,89,1.2336757669575,0.780701754385965,0.150592216582064
"109",109,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,"encerra2=0",49,1.2493097497843,0.80327868852459,0.0829103214890017,46,1.27418447694038,0.821428571428571,0.077834179357022,47,1.25881446569383,0.796610169491525,0.0795262267343486
"110",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,"encerra2=0",60,1.21189336978811,0.779220779220779,0.101522842639594,62,1.26543721508496,0.815789473684211,0.104906937394247,61,1.25185776790055,0.792207792207792,0.10321489001692
"111",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,"encerra2=0",45,1.22783933518006,0.789473684210526,0.0761421319796954,47,1.37557569454762,0.886792452830189,0.0795262267343486,46,1.29803284950344,0.821428571428571,0.077834179357022
